bus;frequency;operator;osm_name;ref;carrier;v_nom;voltage;wkt_srid_4326;x;y;;;;
103;;RWE;Station_Rosenblumendelle;;substation;380.0;380000;110000;SRID=4326;POINT(6.94821343461115_51.4445789430072);694.821.343.461;51.444.578.943;;
104;50;RWE;Station_Buescherhof;;substation;380.0;380000;220000;SRID=4326;POINT(6.92675896360373_51.4992056838496);69.267.589.636;514.992.056.838;;
105;;RWE;Station_Niederrhein;;substation;380.0;380000;110000;SRID=4326;POINT(6.68078798893986_51.6462959356851);668.078.798.894;516.462.959.357;;
106;50;Amprion;Station_Hattingen;;substation;380.0;380000;110000;SRID=4326;POINT(7.16721460965932_51.3899067582106);716.721.460.966;513.899.067.582;;
107;50;RWE;Station_Eiberg;;substation;380.0;380000;220000;SRID=4326;POINT(7.1255729106725_51.4489772588145);712.557.291.067;514.489.772.588;;
108;50;;Station_Karnap;;substation;380.0;380000;110000;SRID=4326;POINT(6.99606888010598_51.5141695891404);699.606.888.011;515.141.695.891;;
109;50;RWE;Witten;;substation;380.0;380000;;SRID=4326;POINT(7.31318284290137_51.4466113896128);73.131.828.429;514.466.113.896;;
110;50;RWE;Station_Uentrop;;substation;380.0;380000;;SRID=4326;POINT(7.99288723332679_51.6837077155955);799.288.723.333;516.837.077.156;;
111;50;Amprion;Station_Nehden;;substation;380.0;380000;110000;SRID=4326;POINT(8.62480052815036_51.4278883849265);862.480.052.815;514.278.883.849;;
112;50;RWE;Station_Mengede;;substation;380.0;380000;;SRID=4326;POINT(7.35311186939787_51.5758105020818);73.531.118.694;515.758.105.021;;
113;50;RWE;Station_Huellen;;substation;380.0;380000;110000;SRID=4326;POINT(7.12323882950453_51.5256121803004);71.232.388.295;515.256.121.803;;
114;50;Amprion;Station_Arpe;;substation;380.0;380000;110000;SRID=4326;POINT(8.21170597594605_51.1779854801194);821.170.597.595;511.779.854.801;;
115;;;RWE_Kraftwerk_Frimmersdorf;;generator;220.0;;;SRID=4326;POINT(6.57648208812114_51.0555954583116);657.648.208.812;510.555.954.583;;
116;50;;Station_Norf;;substation;220.0;220000;110000;SRID=4326;POINT(6.77252309438106_51.1471054906194);677.252.309.438;511.471.054.906;;
117;;RWE;Station_Sechtem;;substation;380.0;380000;220000;SRID=4326;POINT(6.97257742700703_50.795693017514);697.257.742.701;507.956.930.175;;
118;50;Amprion;Station_Lieem;;substation;380.0;380000;110000;SRID=4326;POINT(7.13689469738717_50.6428608767133);713.689.469.739;506.428.608.767;;
119;50;Net;Station_Oberzier;;substation;380.0;380000;110000;SRID=4326;POINT(6.45655246642153_50.8713380368705);645.655.246.642;508.713.380.369;;
120;50;RWE;Station_Dauersberg;;substation;380.0;380000;220000;SRID=4326;POINT(7.86394571365263_50.7682419129404);786.394.571.365;507.682.419.129;;
121;;RWE;RWE_Kraftwerk_Weisweiler;;plant;380.0;;;SRID=4326;POINT(6.32166491493505_50.8383473627586);632.166.491.494;508.383.473.628;;
122;50;Amprion;Station_Verlautenheide;;substation;380.0;380000;110000;SRID=4326;POINT(6.16738169006425_50.8020442927138);616.738.169.006;508.020.442.927;;
123;50;RWE;Station_Rommerskirchen;;substation;380.0;380000;220000;SRID=4326;POINT(6.70220337779745_51.0088609096753);67.022.033.778;510.088.609.097;;
124;50;;KW_Neurath;;substation;380.0;380000;220000;SRID=4326;POINT(6.61240231530956_51.0359242594819);661.240.231.531;510.359.242.595;;
125;;RWE;Station_Opladen;;substation;380.0;380000;220000;SRID=4326;POINT(6.96568442352005_51.0693295322353);696.568.442.352;510.693.295.322;;
126;50;RWE;Station_Linde;;substation;380.0;380000;110000;SRID=4326;POINT(7.23319684331545_51.2325069075148);723.319.684.332;512.325.069.075;;
127;50;;Umspannwerk_Weisweiler;;substation;380.0;380000;110000;SRID=4326;POINT(6.30090123786765_50.8289532122665);630.090.123.787;508.289.532.123;;
128;50;Amprion;Station_Weissenthurm;;substation;380.0;380000;220000;SRID=4326;POINT(7.44948529010545_50.4025276621126);744.948.529.011;504.025.276.621;;
129;50;RWE;Station_Osterath;;substation;380.0;220000;110000;SRID=4326;POINT(6.62582790177014_51.2606098249047);662.582.790.177;512.606.098.249;;
130;50;;Station_Halfeshof;;substation;380.0;380000;110000;SRID=4326;POINT(7.12308195236379_51.1715887782054);712.308.195.236;511.715.887.782;;
131;50;RWE;Station_Sankt_Peter_380_kV;;substation;380.0;380000;220000;SRID=4326;POINT(6.80109333956604_51.1225390518584);680.109.333.957;511.225.390.519;;
132;50;Amprion;Station_Ohligs;;substation;380.0;380000;110000;SRID=4326;POINT(7.00877914033175_51.1742549180397);700.877.914.033;51.174.254.918;;
133;;Amprion;Station_Knapsack;;substation;380.0;380000;110000;SRID=4326;POINT(6.8426506615144_50.8635385008881);684.265.066.151;508.635.385.009;;
134;;RWE;Station_Brauweiler;;substation;220.0;220000;110000;SRID=4326;POINT(6.80461158012622_50.9662452961379);680.461.158.013;509.662.452.961;;
135;;Amprion;Station_Unna;;substation;380.0;380000;110000;SRID=4326;POINT(7.7186272145384_51.5342075115271);771.862.721.454;515.342.075.115;;
136;;Trianel;Geithe;;substation;380.0;380000;;SRID=4326;POINT(7.93077008561427_51.6729710197069);793.077.008.561;516.729.710.197;;
137;;RWE;Station_Pfalzdorf;;substation;220.0;220000;110000;SRID=4326;POINT(6.22183144595687_51.6946456422206);622.183.144.596;516.946.456.422;;
138;;;Kraftwerk_Scholven;;generator;380.0;;;SRID=4326;POINT(7.00674987859998_51.5999114220203);70.067.498.786;51.599.911.422;;
139;;RWE;Station_Bergmannsglueck;;substation;220.0;220000;110000;SRID=4326;POINT(7.03761988504233_51.5985496311832);703.761.988.504;515.985.496.312;;
140;50;Amprion;Station_Poeppinghausen;;substation;220.0;220000;110000;SRID=4326;POINT(7.2640834625924_51.5735734103802);726.408.346.259;515.735.734.104;;
141;50;Amprion;Station_Laer;;substation;220.0;220000;110000;SRID=4326;POINT(7.2789471130269_51.4722816773138);727.894.711.303;514.722.816.773;;
142;;Evonik_Industries_AG;Kraftwerk_Herne_Baukau;;generator;220.0;;;SRID=4326;POINT(7.18667755311932_51.550589070577);718.667.755.312;515.505.890.706;;
143;;E.On_Kraftwerke_GmbH;Kraftwerk_Knepper;;generator;380.0;;;SRID=4326;POINT(7.35135784054859_51.568368608134);735.135.784.055;515.683.686.081;;
144;;Amprion;Station_Bochum;;substation;220.0;220000;110000;SRID=4326;POINT(7.17937912538938_51.4722019484347);717.937.912.539;514.722.019.484;;
145;50;RheinEnergie;UW_Fuehlingen;;substation;220.0;220000;110000;SRID=4326;POINT(6.93488869659333_51.0335223350589);693.488.869.659;510.335.223.351;;
146;50;;Station_Reisholz;;substation;220.0;220000;110000;SRID=4326;POINT(6.82813596908193_51.1626762413706);682.813.596.908;511.626.762.414;;
147;;markE;Umspannwerk_Garenfeld;;substation;220.0;220000;110000;SRID=4326;POINT(7.50597329671546_51.401592550355);750.597.329.672;514.015.925.504;;
